molecule_smiles,taskMask,y_cac,y_lip,y_sol,y_ppb,y_ld5,y_cle
COCCNC(=O)c1ccc(Nc2ncc3cc(-c4cccnc4)ccc3n2)cc1,"[0, 1, 0, 0, 0, 0]",0.0,3.11,0.0,0.0,0.0,0.0
COP(=O)(OC)O/C(C)=C/C(=O)N(C)C,"[0, 0, 1, 0, 0, 0]",0.0,0.0,0.625,0.0,0.0,0.0
O=C([O-])c1ccccc1-c1c2cc(Br)c(=O)cc-2oc2c(C3=CC=C[Hg]3)c([O-])c(Br)cc12.[Na+].[Na+],"[0, 0, 1, 0, 0, 0]",0.0,0.0,-4.594,0.0,0.0,0.0
COc1cccc(C(=O)NCCCOc2cccc3ccc(N)nc23)c1,"[0, 1, 0, 0, 0, 0]",0.0,2.46,0.0,0.0,0.0,0.0
Nc1c(S(=O)(=O)[O-])cc(NC2CCC(Nc3nc(F)nc(Nc4cc(S(=O)(=O)[O-])ccc4S(=O)(=O)[O-])n3)CC2)c2c1C(=O)c1ccccc1C2=O.[K+].[Na+],"[0, 0, 1, 0, 0, 0]",0.0,0.0,-0.757,0.0,0.0,0.0
O=[N+]([O-])CCO,"[0, 0, 1, 0, 0, 0]",0.0,0.0,1.041,0.0,0.0,0.0
OC[C@H]1NC[C@H](O)[C@@H](O)[C@@H]1O,"[0, 0, 1, 0, 0, 0]",0.0,0.0,0.404,0.0,0.0,0.0
CCOc1ccc(N(C)C(N)=O)cc1,"[0, 0, 1, 0, 0, 0]",0.0,0.0,-1.66,0.0,0.0,0.0
COC(=O)c1ccc(C)cc1C1=NC(C)(C(C)C)C(=O)N1,"[0, 0, 1, 0, 0, 0]",0.0,0.0,-2.46,0.0,0.0,0.0
CCC(C)C(CN(C)C)c1cc(F)ccc1OC,"[0, 0, 0, 0, 1, 0]",0.0,0.0,0.0,0.0,2.927,0.0
Cc1nc2ccc(NS(=O)(=O)c3ccc(C)c(C)c3)cc2s1,"[0, 0, 0, 1, 0, 0]",0.0,0.0,0.0,99.9,0.0,0.0
Clc1cc2c(cc1Cl)Oc1cc(Cl)c(Cl)cc1O2,"[0, 0, 1, 0, 0, 0]",0.0,0.0,-9.207,0.0,0.0,0.0
CCOC(=O)N1CCC=C(C=NOC)C1,"[0, 0, 0, 0, 1, 0]",0.0,0.0,0.0,0.0,3.026,0.0
CN1CCN(C(=O)CCNC(=O)[C@@H](Cc2ccccc2)NC(=O)C2(NC(=O)c3cc4ccccc4s3)CCCC2)CC1,"[1, 0, 0, 0, 0, 0]",-5.699,0.0,0.0,0.0,0.0,0.0
Cc1nn(C)c(=O)c2noc(C)c12,"[0, 0, 0, 0, 1, 0]",0.0,0.0,0.0,0.0,2.253,0.0
NCCNCCNCCN,"[0, 0, 1, 0, 1, 0]",0.0,0.0,0.835,0.0,1.767,0.0
c1ccc2cc3c(cc2c1)-c1cccc2cccc-3c12,"[0, 0, 1, 0, 0, 0]",0.0,0.0,-8.499,0.0,0.0,0.0
CC(O[N+](=O)[O-])c1ccc([N+](=O)[O-])cc1,"[0, 0, 0, 0, 1, 0]",0.0,0.0,0.0,0.0,1.996,0.0
CC(Oc1c(Cl)cccc1Cl)C1=NCCN1,"[0, 1, 0, 0, 0, 0]",0.0,0.48,0.0,0.0,0.0,0.0
Cc1cccc2cc3ccccc3cc12,"[0, 0, 1, 0, 0, 0]",0.0,0.0,-5.854,0.0,0.0,0.0
Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2O,"[0, 0, 0, 0, 1, 0]",0.0,0.0,0.0,0.0,3.817,0.0
CC(C)[C@@H](CN1CC[C@@](C)(c2cccc(O)c2)[C@@H](C)C1)NC(=O)[C@H]1Cc2ccc(O)cc2CN1,"[0, 1, 0, 0, 0, 0]",0.0,2.39,0.0,0.0,0.0,0.0
CCCCCCCCCCCC[n+]1ccccc1.[Cl-],"[0, 0, 1, 0, 0, 0]",0.0,0.0,-0.454,0.0,0.0,0.0
CCOC(=O)Nc1cccc([C@@H](c2ccc(C(=O)N(C)CC)cc2)N2CCN(Cc3c[nH]c(C)n3)CC2)c1,"[0, 1, 0, 0, 0, 0]",0.0,2.11,0.0,0.0,0.0,0.0
CCC(c1nc2ccsc2c(=O)n1Cc1cccnc1)N(CCCN)C(=O)c1ccc(C)cc1,"[0, 1, 0, 0, 0, 0]",0.0,0.01,0.0,0.0,0.0,0.0
CCCCOCC(C)OCC(C)O,"[0, 0, 1, 0, 1, 0]",0.0,0.0,-0.653,0.0,2.109,0.0
Cc1ncc2nccnc2n1,"[0, 0, 1, 0, 0, 0]",0.0,0.0,-0.119,0.0,0.0,0.0
CC(C)=NNC(=O)CSc1cc(Oc2ccc(Cl)cc2)ncn1,"[0, 0, 0, 0, 1, 0]",0.0,0.0,0.0,0.0,2.892,0.0
C#CC(C)(CCC=C(C)C)OC(C)=O,"[0, 0, 0, 0, 1, 0]",0.0,0.0,0.0,0.0,1.305,0.0
O=[N+]([O-])c1ccccc1,"[0, 0, 1, 0, 1, 0]",0.0,0.0,-1.8,0.0,2.547,0.0
C#CCCCCC,"[0, 0, 1, 0, 0, 0]",0.0,0.0,-3.01,0.0,0.0,0.0
ClC/C=C\CCl,"[0, 0, 1, 0, 0, 0]",0.0,0.0,-2.333,0.0,0.0,0.0
CCC1(CC)CCC(=O)NC1=O,"[0, 0, 1, 0, 0, 0]",0.0,0.0,-4.53,0.0,0.0,0.0
Cc1cc(C)c(OCC(=O)O)c(Br)c1,"[0, 0, 1, 0, 0, 0]",0.0,0.0,-3.123,0.0,0.0,0.0
CCOP(=S)(CCl)Sc1ccc(C)cc1,"[0, 0, 0, 0, 1, 0]",0.0,0.0,0.0,0.0,2.922,0.0
CN(C)C(=O)[C@H](Cc1ccccc1)NC(=O)c1cc2ccsc2[nH]1,"[0, 1, 0, 0, 0, 0]",0.0,3.1,0.0,0.0,0.0,0.0
O=[Sn],"[0, 0, 1, 0, 0, 0]",0.0,0.0,-8.828,0.0,0.0,0.0
CC1CCN(C(=O)CC(Cc2cccc(N)c2)NS(=O)(=O)c2ccc3ccccc3c2)CC1,"[1, 0, 0, 0, 0, 0]",-4.998,0.0,0.0,0.0,0.0,0.0
Cc1ccc(C(=O)c2cccc3c2CCC3C(=O)O)cc1,"[0, 0, 0, 0, 1, 0]",0.0,0.0,0.0,0.0,3.06,0.0
Cc1cccc(Nc2cc(Cl)nc(SCC(=O)O)n2)c1C,"[0, 0, 0, 0, 1, 0]",0.0,0.0,0.0,0.0,1.892,0.0
C[C@@H]1O[C@@H](O[C@H]2C[C@@H](O)[C@]3(CO)[C@H]4[C@H](O)C[C@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)[C@H](O)[C@H](O)[C@H]1O,"[1, 0, 0, 0, 0, 0]",-7.23,0.0,0.0,0.0,0.0,0.0
O=C(O)c1nc[nH]c1C(=O)O,"[0, 0, 1, 0, 0, 0]",0.0,0.0,-2.494,0.0,0.0,0.0
c1cncc(Nc2ncnc3ccccc23)c1,"[0, 1, 0, 0, 0, 0]",0.0,1.57,0.0,0.0,0.0,0.0
CNC(=O)c1ccc(N2C(=S)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)C23CCC3)cc1F,"[0, 1, 0, 0, 0, 0]",0.0,3.3,0.0,0.0,0.0,0.0
Nc1cnc2ncncc2n1,"[0, 0, 1, 0, 0, 0]",0.0,0.0,-2.34,0.0,0.0,0.0
